"grant_id","parent_grant_id","grant_name","grant_code","system_block"
288,null,"Все что связано с ремонтом","P__Remont","Модуль для подрядчиков"
289,288,"Вкладки ремонта","P__RemontTabs","Модуль для подрядчиков"
290,288,"Заявки поставщикам","P__ProviderRequests","Модуль для подрядчиков"
291,290,"Показать заявки","P__ShowProviderRequests","Модуль для подрядчиков"
292,289,"Назначение прораба в ремонт","P__AppointProrabInRemont","Модуль для подрядчиков"
293,289,"Назначение бригады в ремонт","P__AppointBrigadeInRemont","Модуль для подрядчиков"
294,289,"Вызов ОКК","P__CallOKK","Модуль для подрядчиков"
295,290,"Перевод в статус Утвержден","P__ChangeStatusToAvailable","Модуль для подрядчиков"
296,290,"Изменение даты отгрузки","P__ChangeShippingDate","Модуль для подрядчиков"
297,290,"Создание доп заявки","P__DSCreate","Модуль для подрядчиков"
298,null,"Оплаты","P__PaymentsMain","Модуль для подрядчиков"
299,null,"Отчеты","P__Reports","Модуль для подрядчиков"
300,null,"Обращения","P__Problems","Модуль для подрядчиков"
301,null,"Журнал договоров","P__ContractorAgreementList","Модуль для подрядчиков"
307,null,"Бригады и мастера","P__BrigadeAndMaster","Модуль для подрядчиков"
308,307,"Бригады","P__Brigade","Модуль для подрядчиков"
309,null,"Учет расходов и доходов","P__AccountingIncomeAndCost","Модуль для подрядчиков"
313,289,"Показать Замеры","P__ShowMeasurements","Модуль для подрядчиков"
314,289,"Показать этапы","P__ShowStages","Модуль для подрядчиков"
315,289,"Показать статусы","P__ShowStatuses","Модуль для подрядчиков"
316,289,"Показать проекты","P__ShowProjects","Модуль для подрядчиков"
317,289,"Показать ГПР и выгрузить в Excel","P__ShowGPR","Модуль для подрядчиков"
318,289,"Текстовый конструктор","P__ShowTextConstructor","Модуль для подрядчиков"
319,289,"Показать материалы сметы","P__ShowSmetaMaterials","Модуль для подрядчиков"
320,289,"Показать историю отгрузки материалов","P__ShowMaterialsShippingHistory","Модуль для подрядчиков"
321,289,"Показать расхождения по смете и выгрузить Excel ","P__ShowDifferenceSmeta","Модуль для подрядчиков"
322,288,"Чат","P__Chat","Модуль для подрядчиков"
323,322,"Отправка сообщений","P__SendMessage","Модуль для подрядчиков"
324,322,"Показать историю сообщений","P__ShowMessages","Модуль для подрядчиков"
325,289,"Показать список доп. работ","P__ShowAdditonalWorksList","Модуль для подрядчиков"
326,289,"Показать чек листы","P__ShowCheckList","Модуль для подрядчиков"
327,289,"Показать и скачать документы","P__ShowAndDownloadDocument","Модуль для подрядчиков"
328,298,"Список оплат по ремонтам","P__PaymentListByRemont","Модуль для подрядчиков"
334,298,"Расшифровка оплаты подрядчику","P__DecodePaymentListContractor","Модуль для подрядчиков"
335,298,"Отчет по ожидаемым оплатам","P__ReportOnExpectedPayments","Модуль для подрядчиков"
336,298,"Платежи","P__Payments","Модуль для подрядчиков"
337,299,"Отчеты для руководителей","P__ReportsForHeads","Модуль для подрядчиков"
338,337,"Показать список отчетов для руководителей","P__ShowReportsForHeads","Модуль для подрядчиков"
339,337,"Выгрузка списка отчетов для руководителей","P__UploadingInExcelReportsForHeads","Модуль для подрядчиков"
340,337,"Подробность для каждого этапа","P__DetailsForEachStage","Модуль для подрядчиков"
341,299,"Отчет ОКК","P__ShowReportsOfOKK","Модуль для подрядчиков"
342,299,"Отчет по ремонтам","P__ReportsByRemont","Модуль для подрядчиков"
343,342,"Показать список","P__ShowReportsByRemont","Модуль для подрядчиков"
344,342,"Редактировать подрядчика в ремонте","P__EditContractorInRemont","Модуль для подрядчиков"
345,299,"Отчет по отгрузке материалов","P__ShowReportsShipmentOfMaterials","Модуль для подрядчиков"
346,299,"Отчет по этапам","P__ShowReportsByStages","Модуль для подрядчиков"
347,299,"Отчет по доп.работам","P__ShowReportsByAdditionalWorks","Модуль для подрядчиков"
348,301,"Выгрузка спецификации(договор)","P__UnloadSpecification","Модуль для подрядчиков"
349,301,"Скачать подписанный документ","P__DownloadSignedDocument","Модуль для подрядчиков"
350,301,"Подписать спецификацию(договор)","P__SignSpecification","Модуль для подрядчиков"
351,301,"Подписать договор присоединения","P__SignAccessionAgreement","Модуль для подрядчиков"
356,308,"Добавить бригаду","P__AddBrigade","Модуль для подрядчиков"
357,308,"Удалить бригаду","P__DeleteBrigade","Модуль для подрядчиков"
358,308,"Редактировать бригаду","P__EditBrigade","Модуль для подрядчиков"
