"group_id","group_name","group_code","context"
1,"Администраторы","ADMIN","MySpace"
10,"Проектный менеджер","PM","MySpace"
13,"Разработчик тех. проекта","TECH_PROJECT","MySpace"
18,"Руководитель отдела продаж","HEAD_OF_SALES_DEPARTMENT","MySpace"
22,"Менеджер call-centra","CALL_MANAGER","MySpace"
27,"Бухгалтеры","BUKHGALERY","MySpace"
60,"Канбан","KANBAN","MySpace"
72,"Отдел ценообразования","ОТДЕЛ ЦЕНООБРАЗОВАНИЯ","MySpace"
74,"Отдел развития IT инструмента продаж","ОТДЕЛ РАЗВИТИЯ IT ИНСТРУМЕНТА ПРОДАЖ","MySpace"
75,"Отдел продвижения","OP","MySpace"
78,"Отдел закупа и логистики","ОТДЕЛ ЗАКУПА И ЛОГИСТИКИ","MySpace"
81,"Отдел финансов","ОТДЕЛ ФИНАНСОВ","MySpace"
84,"Центр управления проектами","ЦУП","MySpace"
86,"Отдел ГО","GO","MySpace"
90,"ОКК","ОКК","MySpace"
93,"Руководитель ЦУП","CUP","MySpace"
101,"Офис Бистрой","OFFICE_BEESTROY","MySpace"
103,"Ручное изменение данных для Генератора отчетов","MANUAL__2","MySpace"
104,"Прорабы","MANAGER_PROJECT","Модуль для подрядчиков"
107,"Бригадир","BRIGADIER","Модуль для подрядчиков"
108,"Старший Бригадир","HEAD_BRIGADIER","Модуль для подрядчиков"
110,"Диспетчер по заявкам","DISPATCHER","Модуль для поставщиков"
114,"Мастер по услугам","SERVICE_MASTER","Модуль для подрядчиков"
115,"Внешний мастер","EXTERNAL_MASTER","Модуль для подрядчиков"
116,"Временно для отчета","1","MySpace"
118,"Отчет по ремонтам - Грейд 1,2,3,4","2","MySpace"
119,"Замерщик","3","MySpace"
121,"Наблюдатель","OBSERVER","Мастер"
122,"Команда BIG по черновой","BIG_CHERNOVAIA","MySpace"
