"menu_id","parent_id","menu_name","menu_code","menu_action","location"
1,null,"Администрирование","null","","Smart Remont"
2,1,"Ведение ролей","null","/system/menu-list/","Smart Remont"
4,1,"Ведение пользователей","null","/system/employee-list/","Smart Remont"
10,1,"Привилегии пользователей","null","/system/employee-group/","Smart Remont"
15,null,"Справочники","null","","Smart Remont"
17,15,"Типы материлов","null","/dict/material-type-list/","Smart Remont"
18,15,"Список работ","null","/dict/work-list/","Smart Remont"
21,null,"Материалы поставщиков","null","","Smart Remont"
22,15,"Опции","null","/dict/addition-list/","Smart Remont"
23,15,"Комнаты","null","/dict/room-list/","Smart Remont"
24,15,"Чек-лист","null","/dict/check-list/","Smart Remont"
25,null,"Ремонты","null","","Smart Remont"
35,null,"Ведение клиентов","null","/system/client-list/","Smart Remont"
36,null,"Конструктор сметы","null","","Smart Remont"
37,36,"Поверхности","null","/constructor/work-set/","Smart Remont"
38,36,"Подборы","null","/dict/preset-kit-list/","Smart Remont"
39,36,"Пресеты","null","/constructor/preset/","Smart Remont"
40,15,"Наборы материалов","null","/dict/material-set-list/","Smart Remont"
41,15,"Жилые комплексы","null","/dict/resident-list/","Smart Remont"
42,36,"Опции","null","/constructor/option-list/","Smart Remont"
43,36,"Пресет опции","null","/constructor/preset-option/","Smart Remont"
44,null,"Заявки на ремонт","null","","Smart Remont"
45,44,"Создана","null","/dict/client-request-list/client_request_status_id/1/","Smart Remont"
46,44,"Принята","null","/dict/client-request-list/client_request_status_id/2/","Smart Remont"
47,44,"ДДУ","null","/dict/client-request-list/client_request_status_id/3/","Smart Remont"
48,44,"Договор заключен","null","/dict/client-request-list/client_request_status_id/4/","Smart Remont"
49,44,"Оплачено","null","/dict/client-request-list/client_request_status_id/5/","Smart Remont"
50,44,"В ремонте","null","/dict/client-request-list/client_request_status_id/6/","Smart Remont"
51,44,"Отказано","null","/dict/client-request-list/client_request_status_id/7/","Smart Remont"
52,null,"Обращения клиентов","null","/dict/client-message-list/is_processed/0/","Smart Remont"
53,52,"Отправлено","null","/dict/client-message-list/is_processed/0/","Smart Remont"
54,null,"Отчеты","null","","Smart Remont"
55,54,"Общий список доставок материалов по всем квартирам","null","/contractor/material-shipping/","Smart Remont"
56,54,"График отгрузки материалов за период","null","/provider/material-shipment-graph/","Smart Remont"
60,15,"Этапы ГПР","null","/dict/gpr-stage-list/","Smart Remont"
105,1,"Ведение процедур","null","/system/func-list/","Smart Remont"
106,null,"Заявки","null","","Smart Remont"
107,106,"В процессе","null","/techproject/techproject-request-list/is_completed/0/status_id/1/","Smart Remont"
108,25,"Начат","null","/dict/remont-list/remont_status_id/1/","Smart Remont"
109,25,"Закончен","null","/dict/remont-list/remont_status_id/2/","Smart Remont"
110,25,"Отменен","null","/dict/remont-list/remont_status_id/3/","Smart Remont"
111,null,"Заявки поставщикам (П)","null","/dict/provider-request-list/type/not_shipped/","Smart Remont"
112,111,"Все","null","/dict/provider-request-list/type/all/","Smart Remont"
118,52,"Обработано","null","/dict/client-message-list/is_processed/1/","Smart Remont"
119,54,"Платежи от клиентов","null","/dict/all-remont-payment-list/","Smart Remont"
120,15,"Параметры комнат","null","/dict/param-list/","Smart Remont"
121,106,"Утвержден","null","/techproject/techproject-request-list/is_completed/1/status_id/2/","Smart Remont"
122,108,"Встреча на объекте","null","/dict/remont-list/remont_status_id/1/stage_id/1/","Smart Remont"
123,108,"Проект ремонта","null","/dict/remont-list/remont_status_id/1/stage_id/2/","Smart Remont"
124,108,"Черновая электрика и сантехника","null","/dict/remont-list/remont_status_id/1/stage_id/3/","Smart Remont"
125,108,"Стены, потолки, пол и кафель","null","/dict/remont-list/remont_status_id/1/stage_id/4/","Smart Remont"
126,108,"Ламинат, обои, плинтус","null","/dict/remont-list/remont_status_id/1/stage_id/5/","Smart Remont"
127,108,"Сдача клиенту","null","/dict/remont-list/remont_status_id/1/stage_id/6/","Smart Remont"
128,108,"Нет этапа","null","/dict/remont-list/remont_status_id/1/stage_id/0/","Smart Remont"
129,15,"Пресеты","null","/dict/preset-list/","Smart Remont"
139,25,"Гарантия","null","/dict/remont-list/remont_status_id/4/","Smart Remont"
141,15,"Точки продаж","null","/dict/sale-point-list/","Smart Remont"
142,54,"Заявки поставщикам по материалам","null","/provider/provider-requests-materials/","Smart Remont"
153,15,"Продукты","null","/dict/product-list/","Smart Remont"
162,null,"Синхронизация","null","","Smart Remont"
164,54,"Отчет по завершению этапа","null","/dict/report-completed-stage/","Smart Remont"
165,54,"Назначение ОКК по ЖК и кв","null","/dict/report-stage-ready/","Smart Remont"
166,162,"Версии мобильного приложения (ОКК)","null","/dict/mobile-app-version-list/what/okk/","Smart Remont"
171,1,"Настройки","null","/dict/setting-list/","Smart Remont"
172,15,"Категории продуктов","null","/dict/product-category-list/","Smart Remont"
184,1,"Ведение типов сообщений","null","/system/message-type-list/","Smart Remont"
187,15,"Слои","null","/dict/layer-edit/","Smart Remont"
188,54,"Отчёт о заказанных материалах","null","/dict/report-requested-materials/","Smart Remont"
189,15,"Наборы продуктов","null","/dict/product-set-list/","Smart Remont"
190,1,"Чаты по должностям","null","/system/position-chat/","Smart Remont"
